capital_continent,capital_superregion,tag,name,capital,court_language,culture_definition,religion_definition,accepted_cultures,tolerated_cultures,templates,color
europe,western_cannor_superregion,CWL01,Lorent,lorentaine,lencori_half_elf_dialect,lencori_half_elf,regent_court,,,,"(90, 0, 0)"
europe,western_cannor_superregion,A02,Deranne,deranne,derannic_dialect,derannic,regent_court,,,,"(170, 37, 246)"
europe,western_cannor_superregion,A03,Redglades,ioriellen,moon_elf_dialect,moon_elf,regent_court,,,,"(191, 55, 55)"
europe,western_cannor_superregion,A04,Wesdam,wesdam,half_elf_dialect,half_elf,regent_court,,,,"(37, 138, 164)"
europe,western_cannor_superregion,A05,Reveria,reavers_landing,reverian_dialect,reverian,regent_court,,,,"(135, 129, 189)"
europe,western_cannor_superregion,A06,Nimscodd,nimscodd,cliff_gnome_dialect,cliff_gnome,the_thought,,,,"(254, 207, 255)"
europe,western_cannor_superregion,A07,North Viswall,north_viswall,visfoot_halfling_dialect,visfoot_halfling,regent_court,,,,"(221, 221, 221)"
europe,western_cannor_superregion,A08,South Viswall,south_viswall,visfoot_halfling_dialect,visfoot_halfling,regent_court,,,,"(178, 178, 178)"
europe,western_cannor_superregion,A09,Sorncost,sornaire,sorncosti_dialect,sorncosti,regent_court,,,,"(130, 60, 108)"
europe,western_cannor_superregion,A10,Minaran Temple,minar,high_lorentish_dialect,high_lorentish,regent_court,,,,"(223, 38, 186)"
europe,western_cannor_superregion,A11,Pearlsedge,pearlsedge,pearlsedger_dialect,pearlsedger,regent_court,,,,"(255, 249, 232)"
europe,western_cannor_superregion,A12,Beepeck,beepeck,imperial_halfling_dialect,imperial_halfling,regent_court,,,,"(255, 242, 100)"
europe,western_cannor_superregion,A13,Gawed,gaweton,gawedi_dialect,gawedi,regent_court,,,,"(48, 51, 108)"
europe,western_cannor_superregion,A14,Madelaire,madelaire,high_lorentish_dialect,high_lorentish,regent_court,,,,"(200, 160, 155)"
europe,western_cannor_superregion,A15,Eilisin,eilisin,high_lorentish_dialect,high_lorentish,regent_court,,,,"(185, 97, 97)"
europe,western_cannor_superregion,A16,Wineport,wineport,high_lorentish_dialect,high_lorentish,regent_court,,,,"(66, 43, 83)"
europe,western_cannor_superregion,A17,Great Ording,high_ording,low_lorentish_dialect,low_lorentish,regent_court,,,,"(170, 143, 111)"
europe,western_cannor_superregion,A18,Rubenaire,rubenaire,high_lorentish_dialect,high_lorentish,regent_court,,,,"(120, 40, 40)"
europe,western_cannor_superregion,A19,Portnamm,portnamm,creek_gnome_dialect,creek_gnome,regent_court,,,,"(207, 255, 123)"
europe,western_cannor_superregion,A20,Rubyhold,rubyhold,ruby_dwarf_dialect,ruby_dwarf,dwarven_pantheon,,,,"(239, 52, 52)"
europe,western_cannor_superregion,A21,Venail,venail,moon_elf_dialect,moon_elf,elven_forebears,,,,"(153, 239, 222)"
europe,western_cannor_superregion,A22,Neckcliffe,neckcliffe,west_damerian_dialect,west_damerian,regent_court,,,,"(119, 119, 119)"
europe,western_cannor_superregion,A23,Vertesk,vertesk,vertesker_dialect,vertesker,regent_court,,,,"(57, 81, 87)"
europe,western_cannor_superregion,A24,Westmoors,brontay_point,moorman_dialect,moorman,regent_court,,,,"(71, 84, 102)"
europe,western_cannor_superregion,A25,Damescrown,damescrown,crownsman_dialect,crownsman,regent_court,,,,"(221, 198, 129)"
europe,western_cannor_superregion,A26,Redscale Clan,oddansbay,redscale_kobold_dialect,redscale_kobold,kobold_dragon_cult,,,,"(174, 75, 75)"
europe,western_cannor_superregion,A27,Bluescale Clan,deep_kobilderd,bluescale_kobold_dialect,bluescale_kobold,kobold_dragon_cult,,,,"(75, 147, 174)"
europe,western_cannor_superregion,A28,Greenscale Clan,haighbobben,greenscale_kobold_dialect,greenscale_kobold,kobold_dragon_cult,,,,"(129, 151, 94)"
europe,western_cannor_superregion,A29,Busilar,hapaine,busilari_dialect,busilari,regent_court,,,,"(211, 85, 4)"
europe,western_cannor_superregion,A30,Wex,wexkeep,wexonard_dialect,wexonard,regent_court,,,,"(97, 0, 137)"
europe,western_cannor_superregion,A31,Moonhaven,moonhaven,moon_elf_dialect,moon_elf,regent_court,,,,"(196, 243, 246)"
europe,western_cannor_superregion,A32,Ibevar,ibevar,moon_elf_dialect,moon_elf,regent_court,,,,"(134, 217, 255)"
europe,western_cannor_superregion,A33,Verne,verne,vernman_dialect,vernman,regent_court,,,,"(150, 0, 0)"
europe,western_cannor_superregion,A34,Bisan,bisan,wexonard_dialect,wexonard,regent_court,,,,"(42, 150, 23)"
europe,western_cannor_superregion,A35,Konwell,konwell,esmari_dialect,esmari,regent_court,,,,"(167, 70, 0)"
