continent,superregion,region,area,province,location_type,location_name,hexcode,topography,vegetation,climate,religion,culture,raw_material,natural_harbor_suitability,owner,cores,old_province_number
africa,bulwar_superregion,bahar_region,crathanor_area,gemisle,land,gemisle,402880,flatland,grasslands,continental,regent_court,ilatani,gems,0.25,U17,U17,452
africa,bulwar_superregion,bahar_region,crathanor_area,katrano,land,katrano,492840,flatland,grasslands,continental,regent_court,ilatani,unknown,0.25,U17,U17,516
africa,bulwar_superregion,bahar_region,crathanor_area,sirafan,land,sirafan,c92a80,flatland,grasslands,continental,regent_court,ilatani,fish,0.25,U17,U17,517
africa,bulwar_superregion,bahar_region,crathanor_area,arekis,land,arekis,4a2cc0,flatland,grasslands,continental,regent_court,ilatani,livestock,0.25,U17,"U17,U18",518
africa,bulwar_superregion,bahar_region,crathanor_area,hopespeak,land,hopespeak,ca2eff,flatland,grasslands,continental,regent_court,ilatani,wool,,U17,"U17,U18",519
africa,bulwar_superregion,bahar_region,medbahar_area,akrad-til,land,akrad-til,4a3000,flatland,grasslands,continental,regent_court,ourdi,wool,,U14,"U14,U18",520
africa,bulwar_superregion,bahar_region,reuyel_area,re-uyel,land,re-uyel,ca3240,flatland,grasslands,continental,bulwari_sun_cult,bahari,unknown,0.25,U18,U18,521
africa,bulwar_superregion,bahar_region,reuyel_area,azka-szel-azka,land,azka-szel-azka,4a3480,flatland,grasslands,continental,bulwari_sun_cult,bahari,wine,,U18,U18,522
africa,bulwar_superregion,bahar_region,reuyel_area,zorntanas,land,zorntanas,ca36c0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wheat,0.25,U18,U18,523
africa,bulwar_superregion,bahar_region,tungr_mountains_area,gordihr,land,gordihr,cb3a00,flatland,grasslands,continental,ancestor_worship,copper_dwarf,unknown,0.25,F23,F23,525
africa,bulwar_superregion,bahar_region,tungr_mountains_area,ovdal_tungr,land,ovdal_tungr,4b3c40,flatland,grasslands,continental,ancestor_worship,copper_dwarf,copper,0.25,F23,F23,526
africa,bulwar_superregion,bahar_region,tungr_mountains_area,gulangor,land,gulangor,cb3e80,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,gold,,U14,"U14,F23",527
africa,bulwar_superregion,bahar_region,medbahar_area,kaproya-telen,land,kaproya-telen,4b40c0,flatland,grasslands,continental,bulwari_sun_cult,bahari,fish,0.25,U14,"U14,U19",528
africa,bulwar_superregion,bahar_region,medbahar_area,azka_barzil,land,azka_barzil,cb42ff,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,iron,,U14,U14,529
africa,bulwar_superregion,bahar_region,medbahar_area,vernat,land,vernat,4b4400,flatland,grasslands,continental,bulwari_sun_cult,bahari,unknown,0.25,U19,U19,530
africa,bulwar_superregion,bahar_region,zagnabad_area,eduz-wez,land,eduz-wez,cb4640,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,unknown,0.25,U19,"U19,F84",531
africa,bulwar_superregion,bahar_region,aqatbahar_area,nisabat,land,nisabat,4c4880,flatland,grasslands,continental,bulwari_sun_cult,bahari,wheat,,U15,"U15,U19",532
africa,bulwar_superregion,bahar_region,fajabahar_area,pir-ail,land,pir-ail,cc4ac0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,fish,0.25,U19,"U19,F84",533
africa,bulwar_superregion,bahar_region,zagnabad_area,bazibar,land,bazibar,4c4cff,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,wool,,U15,U15,534
africa,bulwar_superregion,bahar_region,zagnabad_area,agshelum,land,agshelum,cc4e00,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wine,0.25,U15,"U15,U19,F84",535
africa,bulwar_superregion,bahar_region,aqatbahar_area,aqatbar,land,aqatbar,4c5040,flatland,grasslands,continental,bulwari_sun_cult,bahari,unknown,0.25,U15,"U15,U19",536
africa,bulwar_superregion,bahar_region,aqatbahar_area,arzdilsu,land,arzdilsu,cc5280,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,copper,,U15,U15,537
africa,bulwar_superregion,bahar_region,azka_evran_area,azka-evran,land,azka-evran,4c54c0,flatland,grasslands,continental,bulwari_sun_cult,bahari,gold,,F34,F34,538
africa,bulwar_superregion,bahar_region,azka_evran_area,qasnabor,land,qasnabor,cd56ff,flatland,grasslands,continental,bulwari_sun_cult,bahari,gems,,F34,F34,539
africa,bulwar_superregion,bahar_region,azka_evran_area,nasru-ean,land,nasru-ean,4d5800,flatland,grasslands,continental,bulwari_sun_cult,bahari,livestock,,F34,F34,540
africa,bulwar_superregion,bahar_region,fajabahar_area,eduz-szel-ninezim,land,eduz-szel-ninezim,cd5a40,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,incense,0.25,U15,"U15,U19,F84",541
africa,bulwar_superregion,bahar_region,fajabahar_area,fajabahar,land,fajabahar,4d5c80,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,unknown,0.25,U19,"U19,F84",542
africa,bulwar_superregion,bahar_region,birsartenslib_area,deshkumar,land,deshkumar,cd5ec0,flatland,grasslands,continental,bulwari_sun_cult,bahari,unknown,0.25,F21,F21,543
africa,bulwar_superregion,bahar_region,aqatbahar_area,yesdbar,land,yesdbar,4d60ff,flatland,grasslands,continental,goblinic_shamanism,exodus_goblin,wool,,U15,U15,544
africa,bulwar_superregion,bahar_region,bahar_szel_uak_area,farramaz,land,farramaz,cd6200,flatland,grasslands,continental,bulwari_sun_cult,bahari,wheat,,F22,"F22,F21",545
africa,bulwar_superregion,bahar_region,bahar_szel_uak_area,tremo-enkost,land,tremo-enkost,ce6680,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wheat,,F22,"F22,F21",547
africa,bulwar_superregion,bahar_region,birsartenslib_area,habqez,land,habqez,4e68c0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wine,,F21,"F21,F22",548
africa,bulwar_superregion,bahar_region,birsartenslib_area,birsartansbar,land,birsartansbar,ce6aff,flatland,grasslands,continental,bulwari_sun_cult,bahari,wheat,,F21,F21,549
africa,bulwar_superregion,bahar_region,bahar_szel_uak_area,akal-uak,land,akal-uak,4e6c00,flatland,grasslands,continental,bulwari_sun_cult,bahari,unknown,,F22,"F22,F21",550
africa,bulwar_superregion,harpy_hills_region,imuluses_area,eonkavan,land,eonkavan,ce6e40,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,fish,0.25,F21,F21,551
africa,bulwar_superregion,harpy_hills_region,imuluses_area,kaboustraz,land,kaboustraz,4e7080,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,cotton,0.25,F21,F21,552
africa,bulwar_superregion,harpy_hills_region,imuluses_area,tunkalem,land,tunkalem,cf72c0,flatland,grasslands,continental,bulwari_sun_cult,sun_elf,wool,,F21,F21,553
africa,bulwar_superregion,harpy_hills_region,kuz_mountains_area,tuklum_elum,land,tuklum_elum,4f74ff,flatland,grasslands,continental,bulwari_sun_cult,kuzarami,wool,,F21,"F21,F77",554
africa,bulwar_superregion,harpy_hills_region,kuz_mountains_area,kuztanuz,land,kuztanuz,cf7600,flatland,grasslands,continental,bulwari_sun_cult,kuzarami,fish,0.25,F21,"F21,F77",555
africa,bulwar_superregion,harpy_hills_region,kuz_mountains_area,sad_kuz,land,sad_kuz,4f7840,flatland,grasslands,continental,bulwari_sun_cult,kuzarami,wool,,F21,"F21,F77",556
africa,bulwar_superregion,harpy_hills_region,kuz_mountains_area,barzilsad,land,barzilsad,cf7a80,flatland,grasslands,continental,bulwari_sun_cult,kuzarami,iron,,F21,"F21,F77",557
africa,bulwar_superregion,far_bulwar_region,jikarzax_area,zanagu,land,zanagu,4f7cc0,flatland,grasslands,continental,xhazobkult,sandfang_gnoll,copper,,F29,"F29,F92",558
africa,bulwar_superregion,bulwar_proper_region,anzabad_area,zanakes,land,zanakes,cf7eff,flatland,grasslands,continental,bulwari_sun_cult,brasanni,wool,0.25,F40,F40,559
africa,bulwar_superregion,bulwar_proper_region,anzabad_area,anzabad,land,anzabad,508000,flatland,grasslands,continental,bulwari_sun_cult,brasanni,unknown,0.25,F40,F40,560
