tag_continent,tag_superregion,tag,character_tag,first_name,nickname,culture,religion,adm,dip,mil,birth_date,death_date,birth_place,ruler_traits,dynasty,female,ruler_term_start,ruler_term_end,regnal_number
europe,western_cannor_superregion,CWL01,CWL01_kylian_6,kylian,,high_lorentish,regent_court,16,48,16,1410.11.4,,lorentaine,,siloriel,,1442.3.17,,6.0
europe,western_cannor_superregion,A02,A02_adenn_3,adenn,,derannic,regent_court,32,64,80,1424.11.4,,deranne,,sil_deranne,,1443.2.2,,3.0
europe,western_cannor_superregion,A03,A03_elthariel,elthariel,,moon_elf,regent_court,96,96,16,1199.5.11,,ioriellen,,gladeguard,yes,1443.2.2,,
europe,western_cannor_superregion,A05,A05_lothane_3,lothane,,reverian,regent_court,64,32,32,1390.1.1,,reavers_landing,,sil_rever,,1397.6.11,,3.0
europe,western_cannor_superregion,A06,A06_mordibam,mordibam,,cliff_gnome,the_thought,64,80,96,1204.5.3,,nimscodd,,quintain,,1401.6.11,,
europe,western_cannor_superregion,A07,A07_darian,darian,,visfoot_halfling,regent_court,16,48,16,1399.12.12,,north_viswall,,longfellow,,1440.2.2,,
europe,western_cannor_superregion,A08,A08_arnol,arnol,the_fat,visfoot_halfling,regent_court,48,16,16,1399.12.12,,south_viswall,,unknown_dynasty,,1440.2.2,,
europe,western_cannor_superregion,A09,A09_petran_3,petran,,sorncosti,regent_court,80,80,32,1374.10.22,,sornaire,,sil_sorncost,,1420.7.13,,3.0
europe,western_cannor_superregion,A10,A10_alessa,alessa,of_roilsard,roilsardi,regent_court,64,64,64,1426.1.1,,minar,,unknown_dynasty,yes,1444.1.1,,
europe,western_cannor_superregion,A11,A11_caylen_5,caylen,,pearlsedger,regent_court,64,80,32,1423.11.4,,pearlsedge,,sil_na_trisfer,,1427.3.11,,5.0
europe,western_cannor_superregion,A12,A12_devan,devan,the_old_bee,imperial_halfling,regent_court,96,80,16,1387.8.24,,beepeck,,unknown_dynasty,,1439.7.11,,
europe,western_cannor_superregion,A13,A13_welyam_3,welyam,,gawedi,regent_court,96,32,48,1427.10.3,,gaweton,,gerwick,,1435.3.17,,3.0
europe,western_cannor_superregion,A15,A15_reanna_2,reanna,,high_lorentish,regent_court,64,96,48,1431.2.22,,eilisin,,sil_eilisin,yes,1436.2.2,,2.0
europe,western_cannor_superregion,A16,A16_enri,enri,the_taster,high_lorentish,regent_court,32,64,16,1410.4.9,,wineport,,unknown_dynasty,,1428.3.18,,
europe,western_cannor_superregion,A17,A17_creston_6,creston,,low_lorentish,regent_court,32,32,96,1398.3.9,,high_ording,,of_ording,,1404.7.9,,6.0
europe,western_cannor_superregion,A18,A18_rion_5,rion,,high_lorentish,regent_court,64,48,96,1424.6.11,,rubenaire,,sil_rubenaire,,1441.3.3,,5.0
europe,western_cannor_superregion,A19,A19_pordolt,pordolt,somberwazey,creek_gnome,regent_court,32,48,64,1232.12.3,,portnamm,,unknown_dynasty,,1432.2.19,,
europe,western_cannor_superregion,A20,A20_gronmar,gronmar,,ruby_dwarf,dwarven_pantheon,48,48,64,1352.8.8,,rubyhold,,redstone,,1404.7.23,,
europe,western_cannor_superregion,A21,A21_aldarian_1,aldarian,,moon_elf,elven_forebears,16,80,16,1144.8.1,,venail,,seawatcher,,1443.2.2,,1.0
europe,western_cannor_superregion,A22,A22_rogier_10,rogier,,west_damerian,regent_court,64,0,32,1399.9.1,,neckcliffe,,cliffman,,1409.1.9,,10.0
europe,western_cannor_superregion,A23,A23_arnos,arnos,tordan,vertesker,regent_court,48,48,48,1397.6.12,,vertesk,,unknown_dynasty,,1443.7.8,,
europe,western_cannor_superregion,A24,A24_devan_3,devan,,moorman,regent_court,32,32,64,1390.3.27,,brontay_point,,cottersea,,1423.1.11,,3.0
europe,western_cannor_superregion,A25,A25_aldres,aldres,the_gold,crownsman,regent_court,96,32,32,1360.12.11,,damescrown,,unknown_dynasty,,1443.1.10,,
europe,western_cannor_superregion,A26,A26_levaz,levaz,,redscale_kobold,kobold_dragon_cult,80,80,80,1420.4.3,,oddansbay,,sozax,,1433.2.3,,
europe,western_cannor_superregion,A27,A27_tayekar,tayekar,,bluescale_kobold,kobold_dragon_cult,48,48,64,1425.2.9,,deep_kobilderd,,crozamor,,1440.2.9,,
europe,western_cannor_superregion,A28,A28_dervaszix,dervaszix,,greenscale_kobold,kobold_dragon_cult,96,64,32,1399.12.12,,haighbobben,,korlak,,1443.2.2,,
europe,western_cannor_superregion,A29,A29_marcante_1,marcante,,businori_half_elf,regent_court,32,48,16,1366.2.3,,hapaine,,silnara,,1367.6.12,,1.0
europe,western_cannor_superregion,A30,A30_lothane_3,lothane,,wexonard,regent_court,32,48,96,1401.9.4,,wexkeep,,sil_wex,,1417.1.10,,3.0
europe,western_cannor_superregion,A31,A31_varion,varion,'the_young',moon_elf,regent_court,96,16,64,1203.9.3,,moonhaven,,bluetongue,,1439.2.4,,
europe,western_cannor_superregion,A32,A32_ibenion_2,ibenion,,moon_elf,regent_court,48,48,0,1105.10.18,,ibevar,,ta'lunatein,,1420.5.9,,2.0
europe,western_cannor_superregion,A33,A33_alvar_6,alvar,,vernman,regent_court,96,80,80,1411.2.3,,verne,,sil_verne,,1443.3.3,,6.0
europe,western_cannor_superregion,A34,A34_harold_5,harold,,wexonard,regent_court,0,48,32,1405.2.6,,bisan,,of_bisan,,1413.3.3,,5.0
