LandProvince;SeaZone;x;y;
far_isle;far_isle_coast;7109;6015;x
eargate;damesear_crossing;8273;5951;x
old_damenath;old_damenath;8183;6009;x
moonmount;anbenncost;8200;5930;x
varivar;varivar;8247;6009;x
anbenncost;anbenncost;8174;5962;x
moonisle;moonisle;8229;5904;x
wesdam;damesteeth_channel;8069;5951;x
damesteeth;damesteeth_channel;8139;5933;x
toothsend;damesteeth_channel;8078;5924;x
the_pearls;dameshead_approach;8151;5741;x
windtower;damesteeth_channel;8087;5916;x
troutcoast;dameseye_coast;8055;5997;x
dockbridge;dockbridge;8113;5910;x
triancost;triancost;8133;5892;x
stoneview;stoneview;8157;5878;x
throatport;west_damesneck;8136;5820;x
neckcliffe;west_damesneck;8142;5834;x
modgate;dameseye_coast;8055;5986;x
yshwood;east_damesneck;8253;5866;x
toarnaire;imperial_winebay;7941;5863;x
loopuis;imperial_winebay;7953;5846;x
toref_citadel;busilari_straits;8532;5471;x
new_tefkora;tefkora_pass;8593;5421;x
damesdale;damesdale;8264;5922;x
oldport;lorentish_winebay;7918;5904;x
lions_pass;gulf_of_stone;8596;5520;x
vivinmar;vivinmar;7956;5820;x
pearlsedge;dameshead_approach;8133;5785;x
strongport;south_damesneck;8256;5794;x
jewelpoint;dameshead_approach;8104;5759;x
lanpool;jewelpoint_bay;8046;5735;x
tretun;tretunic_coast;7985;5776;x
napesbay;south_damesneck;8250;5767;x
watchmans_point;wyverns_gulf;8261;5732;x
port_munas;east_damesneck;8264;5858;x
dancers_retreat;east_damesneck;8241;5843;x
silverwoods;south_damesneck;8253;5814;x
roilsard;imperial_winebay;7947;5884;x
east_saltmarsh;beepeck_bay;8107;6114;x
casthil;lorentish_winebay;7880;5884;x
pircost;pircost;7886;5843;x
foxalley;bay_of_wines;7872;5788;x
new_adea;bay_of_crovan;7700;5796;x
crovans_rest;bay_of_crovan;7674;5802;x
coruan;coruan;7886;5776;x
sornbay;southcoast;7682;5715;x
bottlepoint;bottlepoint;7909;5770;x
sornaire;southcoast;7720;5718;x
ebenuel;coast_of_ebenuel;7872;5718;x
casna_ola;bay_of_crovan;7700;5776;x
aishill;hillsight_approach;7813;5692;x
venail;bay_of_crovan;7595;5732;x
edilliande;fogged_sea;7505;5744;x
nurionn;nurionn;7869;5860;x
aelhill;hillsight_approach;7770;5666;x
wineport;bay_of_wines;7892;5820;x
lencesk;westcoast;7595;5910;x
hollowview;hollowview;7578;5881;x
mistspear;fogged_sea;7537;5843;x
aelvar;westcoast;7633;5954;x
westport;westcoast;7624;6015;x
clearshore;westcoast;7627;6084;x
baynoms;shattered_bay;7810;6311;x
thunderward;thunderward;7668;6122;x
portnamm;portnamm_bay;7682;6189;x
firstsight;southcoast;7572;5700;x
southroy;southroy;7680;6151;x
eldergreen;reavers_approach;7712;6218;x
reavers_landing;reavers_landing;7732;6244;x
stormpoint;stormpoint;7790;6294;x
olmaddit;olmaddit;7842;6323;x
baycodds;shattered_bay;7810;6329;x
beepeck;beepeck_bay;8130;6114;x
exwes_by_the_sea;beepeck_bay;8096;6052;x
west_saltmarsh;beepeck_bay;8113;6090;x
hookfield;dameseye_coast;8081;6023;x
royvibobb;shattered_bay;7869;6340;x
auraire;damesteeth_channel;8151;5962;x
nimscodd;dragon_coast;7616;6329;x
haighpeck;shattered_bay;7863;6355;x
tholod;shattered_bay;7796;6355;x
widdechand;dragon_coast;7674;6422;x
chiddeburd;dragon_coast;7639;6442;x
lilroy;dragon_coast;7592;6451;x
oddansbay;bay_of_oddan;7508;6492;x
norcamb;norcamb;7537;6530;x
norbit;norbit;7627;6556;x
adderodd;adderodd;7735;6564;x
ionddammroy;dragon_coast;7729;6361;x
middanbit;middanbit;7874;6559;x
moorbobb;sea_of_broken_ice;7965;6567;x
lilcodd;sea_of_broken_ice;7831;6634;x
storm_isles;sea_of_storms;7819;6759;x
brontay_point;brontay_point;8037;6576;x
cottersea;sea_of_broken_ice;8066;6596;x
leapdon;sea_of_broken_ice;8081;6620;x
coddorran;sea_of_broken_ice;8064;6640;x
oddcodd;sea_of_storms;8026;6806;x
docodd;sea_of_broken_ice;8011;6684;x
haighbobben;serpents_maw;8151;6745;x
the_strip;uelcoast;8142;6160;x
uelaire;uelcoast;8154;6198;x
highwind;floodmarsh_coast;8171;6227;x
south_floodmarshes;floodmarsh_coast;8218;6282;x
north_floodmarshes;bay_of_vertesk;8232;6317;x
vertesk;bay_of_vertesk;8256;6326;x
ebenaire;bay_of_crowns;8395;6244;x
damescrown;bay_of_crowns;8378;6221;x
aramar;bay_of_vertesk;8346;6271;x
highharbour;bay_of_vertesk;8302;6308;x
crownsway;bay_of_crowns;8378;6180;x
coastroad;coastroad;8386;6111;x
yearncliff;lovers_coast;8372;6090;x
ryalanar;lovers_coast;8354;6052;x
fencewood;coast_of_konwell;8366;6012;x
konwell;konwell;8349;5980;x
damescross;damesear_crossing;8290;5939;x
stoutharbour;wyverns_gulf;8299;5730;x
heroes_rest;wyverns_gulf;8320;5709;x
heartspier;wyverns_gulf;8381;5683;x
wyvernmark;wyverns_gulf;8404;5654;x
arca_lar;wyverns_gulf;8416;5636;x
acromton;acromton;8328;5968;x
bleakpass;bleakpass;7837;6570;x
newacre;floodmarsh_coast;8183;6239;x
port_jaher;gulf_of_stone;8631;5596;x
lorbet;gulf_of_stone;8651;5636;x
lioncost;gulf_of_stone;8590;5561;x
port_jurith;tefkora_pass;8532;5410;x
derancestir;busilari_straits;8491;5514;x
lorincrag;busilari_straits;8462;5523;x
the_tail;eborthil_approach;8386;5564;x
stingport;wyverns_gulf;8270;5680;x
stonegaze;tefkora_pass;8619;5485;x
eborthil;eborthil;8488;5465;x
krodamat;krodamat;8395;5357;x
deshak;coast_of_deshak;8331;5357;x
adseenu;dog_coast;8154;5386;x
addsen;dog_coast;8110;5383;x
akasat;akasat;8014;5378;x
sensha;bay_of_ekha;7982;5404;x
tipspit;tipspit;7898;5424;x
